                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6858,                 3.9917,                 1.6254,                0.71542,                0.67608,                0.72365,                0.37247,                 1.7553,                 2.4674,                 1.7821,               0.070882,              0.0032353,              0.0032353
                      1,                 1.2779,                 1.7974,                 1.3108,                 0.8431,                0.85206,                0.86907,                0.51291,                 1.5277,                 1.2246,                 1.5751,               0.037631,              0.0033172,              0.0033172
